Ref_Date,GEO,DWELCODE,FUELTYPE,CONSUMPTION,Vector,Coordinate,Value
2011,Prince Edward Island,Low-rise apartment (fewer than 5 stories),"Total, all energy types",Number of households,v105818897,3.5.1.4,F
2013,Prince Edward Island,Low-rise apartment (fewer than 5 stories),"Total, all energy types",Number of households,v105818897,3.5.1.4,F
2015,Prince Edward Island,Low-rise apartment (fewer than 5 stories),"Total, all energy types",Number of households,v105818897,3.5.1.4,10789
2011,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Electricity,Gigajoules,v105818898,3.5.2.1,F
2013,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Electricity,Gigajoules,v105818898,3.5.2.1,F
2015,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Electricity,Gigajoules,v105818898,3.5.2.1,F
2011,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Electricity,Gigajoules per household,v105818899,3.5.2.2,F
2013,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Electricity,Gigajoules per household,v105818899,3.5.2.2,F
2015,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Electricity,Gigajoules per household,v105818899,3.5.2.2,24
2011,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Electricity,Proportion of total energy (percent),v105818900,3.5.2.3,F
2013,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Electricity,Proportion of total energy (percent),v105818900,3.5.2.3,F
2015,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Electricity,Proportion of total energy (percent),v105818900,3.5.2.3,30.2
2011,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Electricity,Number of households,v105818901,3.5.2.4,F
2013,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Electricity,Number of households,v105818901,3.5.2.4,F
2015,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Electricity,Number of households,v105818901,3.5.2.4,10789
2011,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Natural gas,Gigajoules,v105818902,3.5.3.1,F
2013,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Natural gas,Gigajoules,v105818902,3.5.3.1,F
2015,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Natural gas,Gigajoules,v105818902,3.5.3.1,F
2011,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Natural gas,Gigajoules per household,v105818903,3.5.3.2,F
2013,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Natural gas,Gigajoules per household,v105818903,3.5.3.2,F
2015,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Natural gas,Gigajoules per household,v105818903,3.5.3.2,F
2011,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Natural gas,Proportion of total energy (percent),v105818904,3.5.3.3,F
2013,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Natural gas,Proportion of total energy (percent),v105818904,3.5.3.3,F
2015,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Natural gas,Proportion of total energy (percent),v105818904,3.5.3.3,F
2011,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Natural gas,Number of households,v105818905,3.5.3.4,F
2013,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Natural gas,Number of households,v105818905,3.5.3.4,F
2015,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Natural gas,Number of households,v105818905,3.5.3.4,F
2011,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Heating oil,Gigajoules,v105818906,3.5.4.1,F
2013,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Heating oil,Gigajoules,v105818906,3.5.4.1,F
2015,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Heating oil,Gigajoules,v105818906,3.5.4.1,F
2011,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Heating oil,Gigajoules per household,v105818907,3.5.4.2,F
2013,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Heating oil,Gigajoules per household,v105818907,3.5.4.2,F
2015,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Heating oil,Gigajoules per household,v105818907,3.5.4.2,F
2011,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Heating oil,Proportion of total energy (percent),v105818908,3.5.4.3,F
2013,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Heating oil,Proportion of total energy (percent),v105818908,3.5.4.3,F
2015,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Heating oil,Proportion of total energy (percent),v105818908,3.5.4.3,F
2011,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Heating oil,Number of households,v105818909,3.5.4.4,F
2013,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Heating oil,Number of households,v105818909,3.5.4.4,F
2015,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Heating oil,Number of households,v105818909,3.5.4.4,F
2011,Prince Edward Island,High-rise apartment (5 stories or more),"Total, all energy types",Gigajoules,v105818910,3.6.1.1,..
2013,Prince Edward Island,High-rise apartment (5 stories or more),"Total, all energy types",Gigajoules,v105818910,3.6.1.1,..
2015,Prince Edward Island,High-rise apartment (5 stories or more),"Total, all energy types",Gigajoules,v105818910,3.6.1.1,..
2011,Prince Edward Island,High-rise apartment (5 stories or more),"Total, all energy types",Gigajoules per household,v105818911,3.6.1.2,..
2013,Prince Edward Island,High-rise apartment (5 stories or more),"Total, all energy types",Gigajoules per household,v105818911,3.6.1.2,..
2015,Prince Edward Island,High-rise apartment (5 stories or more),"Total, all energy types",Gigajoules per household,v105818911,3.6.1.2,..
2011,Prince Edward Island,High-rise apartment (5 stories or more),"Total, all energy types",Number of households,v105818913,3.6.1.4,..
2013,Prince Edward Island,High-rise apartment (5 stories or more),"Total, all energy types",Number of households,v105818913,3.6.1.4,..
2015,Prince Edward Island,High-rise apartment (5 stories or more),"Total, all energy types",Number of households,v105818913,3.6.1.4,..
2011,Prince Edward Island,High-rise apartment (5 stories or more),Electricity,Gigajoules,v105818914,3.6.2.1,..
2013,Prince Edward Island,High-rise apartment (5 stories or more),Electricity,Gigajoules,v105818914,3.6.2.1,..
2015,Prince Edward Island,High-rise apartment (5 stories or more),Electricity,Gigajoules,v105818914,3.6.2.1,..
2011,Prince Edward Island,High-rise apartment (5 stories or more),Electricity,Gigajoules per household,v105818915,3.6.2.2,..
2013,Prince Edward Island,High-rise apartment (5 stories or more),Electricity,Gigajoules per household,v105818915,3.6.2.2,..
2015,Prince Edward Island,High-rise apartment (5 stories or more),Electricity,Gigajoules per household,v105818915,3.6.2.2,..
2011,Prince Edward Island,High-rise apartment (5 stories or more),Electricity,Proportion of total energy (percent),v105818916,3.6.2.3,..
2013,Prince Edward Island,High-rise apartment (5 stories or more),Electricity,Proportion of total energy (percent),v105818916,3.6.2.3,..
2015,Prince Edward Island,High-rise apartment (5 stories or more),Electricity,Proportion of total energy (percent),v105818916,3.6.2.3,..
2011,Prince Edward Island,High-rise apartment (5 stories or more),Electricity,Number of households,v105818917,3.6.2.4,..
2013,Prince Edward Island,High-rise apartment (5 stories or more),Electricity,Number of households,v105818917,3.6.2.4,..
2015,Prince Edward Island,High-rise apartment (5 stories or more),Electricity,Number of households,v105818917,3.6.2.4,..
2011,Prince Edward Island,High-rise apartment (5 stories or more),Natural gas,Gigajoules,v105818918,3.6.3.1,..
2013,Prince Edward Island,High-rise apartment (5 stories or more),Natural gas,Gigajoules,v105818918,3.6.3.1,..
2015,Prince Edward Island,High-rise apartment (5 stories or more),Natural gas,Gigajoules,v105818918,3.6.3.1,..
2011,Prince Edward Island,High-rise apartment (5 stories or more),Natural gas,Gigajoules per household,v105818919,3.6.3.2,..
2013,Prince Edward Island,High-rise apartment (5 stories or more),Natural gas,Gigajoules per household,v105818919,3.6.3.2,..
2015,Prince Edward Island,High-rise apartment (5 stories or more),Natural gas,Gigajoules per household,v105818919,3.6.3.2,..
2011,Prince Edward Island,High-rise apartment (5 stories or more),Natural gas,Proportion of total energy (percent),v105818920,3.6.3.3,..
2013,Prince Edward Island,High-rise apartment (5 stories or more),Natural gas,Proportion of total energy (percent),v105818920,3.6.3.3,..
2015,Prince Edward Island,High-rise apartment (5 stories or more),Natural gas,Proportion of total energy (percent),v105818920,3.6.3.3,..
2011,Prince Edward Island,High-rise apartment (5 stories or more),Natural gas,Number of households,v105818921,3.6.3.4,..
2013,Prince Edward Island,High-rise apartment (5 stories or more),Natural gas,Number of households,v105818921,3.6.3.4,..
2015,Prince Edward Island,High-rise apartment (5 stories or more),Natural gas,Number of households,v105818921,3.6.3.4,..
2011,Prince Edward Island,High-rise apartment (5 stories or more),Heating oil,Gigajoules,v105818922,3.6.4.1,..
2013,Prince Edward Island,High-rise apartment (5 stories or more),Heating oil,Gigajoules,v105818922,3.6.4.1,..
2015,Prince Edward Island,High-rise apartment (5 stories or more),Heating oil,Gigajoules,v105818922,3.6.4.1,..
2011,Prince Edward Island,High-rise apartment (5 stories or more),Heating oil,Gigajoules per household,v105818923,3.6.4.2,..
2013,Prince Edward Island,High-rise apartment (5 stories or more),Heating oil,Gigajoules per household,v105818923,3.6.4.2,..
2015,Prince Edward Island,High-rise apartment (5 stories or more),Heating oil,Gigajoules per household,v105818923,3.6.4.2,..
2011,Prince Edward Island,High-rise apartment (5 stories or more),Heating oil,Proportion of total energy (percent),v105818924,3.6.4.3,..
2013,Prince Edward Island,High-rise apartment (5 stories or more),Heating oil,Proportion of total energy (percent),v105818924,3.6.4.3,..
2015,Prince Edward Island,High-rise apartment (5 stories or more),Heating oil,Proportion of total energy (percent),v105818924,3.6.4.3,..
2011,Prince Edward Island,High-rise apartment (5 stories or more),Heating oil,Number of households,v105818925,3.6.4.4,..
2013,Prince Edward Island,High-rise apartment (5 stories or more),Heating oil,Number of households,v105818925,3.6.4.4,..
2015,Prince Edward Island,High-rise apartment (5 stories or more),Heating oil,Number of households,v105818925,3.6.4.4,..
2011,Prince Edward Island,Mobile home,"Total, all energy types",Gigajoules,v105818926,3.7.1.1,F
2013,Prince Edward Island,Mobile home,"Total, all energy types",Gigajoules,v105818926,3.7.1.1,F
2015,Prince Edward Island,Mobile home,"Total, all energy types",Gigajoules,v105818926,3.7.1.1,F
2011,Prince Edward Island,Mobile home,"Total, all energy types",Gigajoules per household,v105818927,3.7.1.2,F
2013,Prince Edward Island,Mobile home,"Total, all energy types",Gigajoules per household,v105818927,3.7.1.2,F
2015,Prince Edward Island,Mobile home,"Total, all energy types",Gigajoules per household,v105818927,3.7.1.2,F
2011,Prince Edward Island,Mobile home,"Total, all energy types",Number of households,v105818929,3.7.1.4,F
2013,Prince Edward Island,Mobile home,"Total, all energy types",Number of households,v105818929,3.7.1.4,F
2015,Prince Edward Island,Mobile home,"Total, all energy types",Number of households,v105818929,3.7.1.4,F
2011,Prince Edward Island,Mobile home,Electricity,Gigajoules,v105818930,3.7.2.1,F
2013,Prince Edward Island,Mobile home,Electricity,Gigajoules,v105818930,3.7.2.1,F
2015,Prince Edward Island,Mobile home,Electricity,Gigajoules,v105818930,3.7.2.1,F
2011,Prince Edward Island,Mobile home,Electricity,Gigajoules per household,v105818931,3.7.2.2,F
2013,Prince Edward Island,Mobile home,Electricity,Gigajoules per household,v105818931,3.7.2.2,F
2015,Prince Edward Island,Mobile home,Electricity,Gigajoules per household,v105818931,3.7.2.2,F
2011,Prince Edward Island,Mobile home,Electricity,Proportion of total energy (percent),v105818932,3.7.2.3,F
2013,Prince Edward Island,Mobile home,Electricity,Proportion of total energy (percent),v105818932,3.7.2.3,F
2015,Prince Edward Island,Mobile home,Electricity,Proportion of total energy (percent),v105818932,3.7.2.3,F
2011,Prince Edward Island,Mobile home,Electricity,Number of households,v105818933,3.7.2.4,F
2013,Prince Edward Island,Mobile home,Electricity,Number of households,v105818933,3.7.2.4,F
2015,Prince Edward Island,Mobile home,Electricity,Number of households,v105818933,3.7.2.4,F
2011,Prince Edward Island,Mobile home,Natural gas,Gigajoules,v105818934,3.7.3.1,F
2013,Prince Edward Island,Mobile home,Natural gas,Gigajoules,v105818934,3.7.3.1,F
2015,Prince Edward Island,Mobile home,Natural gas,Gigajoules,v105818934,3.7.3.1,F
2011,Prince Edward Island,Mobile home,Natural gas,Gigajoules per household,v105818935,3.7.3.2,F
2013,Prince Edward Island,Mobile home,Natural gas,Gigajoules per household,v105818935,3.7.3.2,F
2015,Prince Edward Island,Mobile home,Natural gas,Gigajoules per household,v105818935,3.7.3.2,F
2011,Prince Edward Island,Mobile home,Natural gas,Proportion of total energy (percent),v105818936,3.7.3.3,F
2013,Prince Edward Island,Mobile home,Natural gas,Proportion of total energy (percent),v105818936,3.7.3.3,F
2015,Prince Edward Island,Mobile home,Natural gas,Proportion of total energy (percent),v105818936,3.7.3.3,F
2011,Prince Edward Island,Mobile home,Natural gas,Number of households,v105818937,3.7.3.4,F
2013,Prince Edward Island,Mobile home,Natural gas,Number of households,v105818937,3.7.3.4,F
2015,Prince Edward Island,Mobile home,Natural gas,Number of households,v105818937,3.7.3.4,F
2011,Prince Edward Island,Mobile home,Heating oil,Gigajoules,v105818938,3.7.4.1,F
2013,Prince Edward Island,Mobile home,Heating oil,Gigajoules,v105818938,3.7.4.1,F
2015,Prince Edward Island,Mobile home,Heating oil,Gigajoules,v105818938,3.7.4.1,F
2011,Prince Edward Island,Mobile home,Heating oil,Gigajoules per household,v105818939,3.7.4.2,F
2013,Prince Edward Island,Mobile home,Heating oil,Gigajoules per household,v105818939,3.7.4.2,F
2015,Prince Edward Island,Mobile home,Heating oil,Gigajoules per household,v105818939,3.7.4.2,F
2011,Prince Edward Island,Mobile home,Heating oil,Proportion of total energy (percent),v105818940,3.7.4.3,F
2013,Prince Edward Island,Mobile home,Heating oil,Proportion of total energy (percent),v105818940,3.7.4.3,F
2015,Prince Edward Island,Mobile home,Heating oil,Proportion of total energy (percent),v105818940,3.7.4.3,F
2011,Prince Edward Island,Mobile home,Heating oil,Number of households,v105818941,3.7.4.4,F
2013,Prince Edward Island,Mobile home,Heating oil,Number of households,v105818941,3.7.4.4,F
2015,Prince Edward Island,Mobile home,Heating oil,Number of households,v105818941,3.7.4.4,F
2011,Nova Scotia,Single-detached,"Total, all energy types",Gigajoules,v105818958,4.1.1.1,20280877
2013,Nova Scotia,Single-detached,"Total, all energy types",Gigajoules,v105818958,4.1.1.1,25860065
2015,Nova Scotia,Single-detached,"Total, all energy types",Gigajoules,v105818958,4.1.1.1,27441400
2011,Nova Scotia,Single-detached,"Total, all energy types",Gigajoules per household,v105818959,4.1.1.2,75.3
2013,Nova Scotia,Single-detached,"Total, all energy types",Gigajoules per household,v105818959,4.1.1.2,88.1
2015,Nova Scotia,Single-detached,"Total, all energy types",Gigajoules per household,v105818959,4.1.1.2,98
2011,Nova Scotia,Single-detached,"Total, all energy types",Number of households,v105818961,4.1.1.4,269296
2013,Nova Scotia,Single-detached,"Total, all energy types",Number of households,v105818961,4.1.1.4,293525
2015,Nova Scotia,Single-detached,"Total, all energy types",Number of households,v105818961,4.1.1.4,280114
2011,Nova Scotia,Single-detached,Electricity,Gigajoules,v105818962,4.1.2.1,9704911
2013,Nova Scotia,Single-detached,Electricity,Gigajoules,v105818962,4.1.2.1,12024233
2015,Nova Scotia,Single-detached,Electricity,Gigajoules,v105818962,4.1.2.1,11540602
2011,Nova Scotia,Single-detached,Electricity,Gigajoules per household,v105818963,4.1.2.2,36
2013,Nova Scotia,Single-detached,Electricity,Gigajoules per household,v105818963,4.1.2.2,41
2015,Nova Scotia,Single-detached,Electricity,Gigajoules per household,v105818963,4.1.2.2,41.2
2011,Nova Scotia,Single-detached,Electricity,Proportion of total energy (percent),v105818964,4.1.2.3,47.9
2013,Nova Scotia,Single-detached,Electricity,Proportion of total energy (percent),v105818964,4.1.2.3,46.5
2015,Nova Scotia,Single-detached,Electricity,Proportion of total energy (percent),v105818964,4.1.2.3,42.1
2011,Nova Scotia,Single-detached,Electricity,Number of households,v105818965,4.1.2.4,269296
2013,Nova Scotia,Single-detached,Electricity,Number of households,v105818965,4.1.2.4,293525
2015,Nova Scotia,Single-detached,Electricity,Number of households,v105818965,4.1.2.4,280114
2011,Nova Scotia,Single-detached,Natural gas,Gigajoules,v105818966,4.1.3.1,F
2013,Nova Scotia,Single-detached,Natural gas,Gigajoules,v105818966,4.1.3.1,F
2015,Nova Scotia,Single-detached,Natural gas,Gigajoules,v105818966,4.1.3.1,F
2011,Nova Scotia,Single-detached,Natural gas,Gigajoules per household,v105818967,4.1.3.2,F
2013,Nova Scotia,Single-detached,Natural gas,Gigajoules per household,v105818967,4.1.3.2,F
2015,Nova Scotia,Single-detached,Natural gas,Gigajoules per household,v105818967,4.1.3.2,F
2011,Nova Scotia,Single-detached,Natural gas,Proportion of total energy (percent),v105818968,4.1.3.3,F
2013,Nova Scotia,Single-detached,Natural gas,Proportion of total energy (percent),v105818968,4.1.3.3,F
2015,Nova Scotia,Single-detached,Natural gas,Proportion of total energy (percent),v105818968,4.1.3.3,F
2011,Nova Scotia,Single-detached,Natural gas,Number of households,v105818969,4.1.3.4,F
2013,Nova Scotia,Single-detached,Natural gas,Number of households,v105818969,4.1.3.4,F
2015,Nova Scotia,Single-detached,Natural gas,Number of households,v105818969,4.1.3.4,F
2011,Nova Scotia,Single-detached,Heating oil,Gigajoules,v105818970,4.1.4.1,10237637
2013,Nova Scotia,Single-detached,Heating oil,Gigajoules,v105818970,4.1.4.1,13785609
2015,Nova Scotia,Single-detached,Heating oil,Gigajoules,v105818970,4.1.4.1,15800378
2011,Nova Scotia,Single-detached,Heating oil,Gigajoules per household,v105818971,4.1.4.2,63.1
2013,Nova Scotia,Single-detached,Heating oil,Gigajoules per household,v105818971,4.1.4.2,75.9
2015,Nova Scotia,Single-detached,Heating oil,Gigajoules per household,v105818971,4.1.4.2,97.1
2011,Nova Scotia,Single-detached,Heating oil,Proportion of total energy (percent),v105818972,4.1.4.3,50.5
2013,Nova Scotia,Single-detached,Heating oil,Proportion of total energy (percent),v105818972,4.1.4.3,53.3
2015,Nova Scotia,Single-detached,Heating oil,Proportion of total energy (percent),v105818972,4.1.4.3,57.6
2011,Nova Scotia,Single-detached,Heating oil,Number of households,v105818973,4.1.4.4,162345
2013,Nova Scotia,Single-detached,Heating oil,Number of households,v105818973,4.1.4.4,181705
2015,Nova Scotia,Single-detached,Heating oil,Number of households,v105818973,4.1.4.4,162665
2011,Nova Scotia,Double,"Total, all energy types",Gigajoules,v105818974,4.2.1.1,F
2013,Nova Scotia,Double,"Total, all energy types",Gigajoules,v105818974,4.2.1.1,F
2015,Nova Scotia,Double,"Total, all energy types",Gigajoules,v105818974,4.2.1.1,F
2011,Nova Scotia,Double,"Total, all energy types",Gigajoules per household,v105818975,4.2.1.2,F
2013,Nova Scotia,Double,"Total, all energy types",Gigajoules per household,v105818975,4.2.1.2,F
2015,Nova Scotia,Double,"Total, all energy types",Gigajoules per household,v105818975,4.2.1.2,F
2011,Nova Scotia,Double,"Total, all energy types",Number of households,v105818977,4.2.1.4,F
2013,Nova Scotia,Double,"Total, all energy types",Number of households,v105818977,4.2.1.4,F
2015,Nova Scotia,Double,"Total, all energy types",Number of households,v105818977,4.2.1.4,F
2011,Nova Scotia,Double,Electricity,Gigajoules,v105818978,4.2.2.1,F
2013,Nova Scotia,Double,Electricity,Gigajoules,v105818978,4.2.2.1,F
2015,Nova Scotia,Double,Electricity,Gigajoules,v105818978,4.2.2.1,F
2011,Nova Scotia,Double,Electricity,Gigajoules per household,v105818979,4.2.2.2,F
2013,Nova Scotia,Double,Electricity,Gigajoules per household,v105818979,4.2.2.2,F
2015,Nova Scotia,Double,Electricity,Gigajoules per household,v105818979,4.2.2.2,F
2011,Nova Scotia,Double,Electricity,Proportion of total energy (percent),v105818980,4.2.2.3,F
2013,Nova Scotia,Double,Electricity,Proportion of total energy (percent),v105818980,4.2.2.3,F
2015,Nova Scotia,Double,Electricity,Proportion of total energy (percent),v105818980,4.2.2.3,F
2011,Nova Scotia,Double,Electricity,Number of households,v105818981,4.2.2.4,F
2013,Nova Scotia,Double,Electricity,Number of households,v105818981,4.2.2.4,F
2015,Nova Scotia,Double,Electricity,Number of households,v105818981,4.2.2.4,F
2011,Nova Scotia,Double,Natural gas,Gigajoules,v105818982,4.2.3.1,F
2013,Nova Scotia,Double,Natural gas,Gigajoules,v105818982,4.2.3.1,F
2015,Nova Scotia,Double,Natural gas,Gigajoules,v105818982,4.2.3.1,F
2011,Nova Scotia,Double,Natural gas,Gigajoules per household,v105818983,4.2.3.2,F
2013,Nova Scotia,Double,Natural gas,Gigajoules per household,v105818983,4.2.3.2,F
2015,Nova Scotia,Double,Natural gas,Gigajoules per household,v105818983,4.2.3.2,F
2011,Nova Scotia,Double,Natural gas,Proportion of total energy (percent),v105818984,4.2.3.3,F
2013,Nova Scotia,Double,Natural gas,Proportion of total energy (percent),v105818984,4.2.3.3,F
2015,Nova Scotia,Double,Natural gas,Proportion of total energy (percent),v105818984,4.2.3.3,F
2011,Nova Scotia,Double,Natural gas,Number of households,v105818985,4.2.3.4,F
2013,Nova Scotia,Double,Natural gas,Number of households,v105818985,4.2.3.4,F
2015,Nova Scotia,Double,Natural gas,Number of households,v105818985,4.2.3.4,F
2011,Nova Scotia,Double,Heating oil,Gigajoules,v105818986,4.2.4.1,F
2013,Nova Scotia,Double,Heating oil,Gigajoules,v105818986,4.2.4.1,F
2015,Nova Scotia,Double,Heating oil,Gigajoules,v105818986,4.2.4.1,F
2011,Nova Scotia,Double,Heating oil,Gigajoules per household,v105818987,4.2.4.2,F
2013,Nova Scotia,Double,Heating oil,Gigajoules per household,v105818987,4.2.4.2,F
2015,Nova Scotia,Double,Heating oil,Gigajoules per household,v105818987,4.2.4.2,F
2011,Nova Scotia,Double,Heating oil,Proportion of total energy (percent),v105818988,4.2.4.3,F
2013,Nova Scotia,Double,Heating oil,Proportion of total energy (percent),v105818988,4.2.4.3,F
2015,Nova Scotia,Double,Heating oil,Proportion of total energy (percent),v105818988,4.2.4.3,F
2011,Nova Scotia,Double,Heating oil,Number of households,v105818989,4.2.4.4,F
2013,Nova Scotia,Double,Heating oil,Number of households,v105818989,4.2.4.4,F
2015,Nova Scotia,Double,Heating oil,Number of households,v105818989,4.2.4.4,F
2011,Nova Scotia,Row or terrace,"Total, all energy types",Gigajoules,v105818990,4.3.1.1,F
2013,Nova Scotia,Row or terrace,"Total, all energy types",Gigajoules,v105818990,4.3.1.1,F
2015,Nova Scotia,Row or terrace,"Total, all energy types",Gigajoules,v105818990,4.3.1.1,F
2011,Nova Scotia,Row or terrace,"Total, all energy types",Gigajoules per household,v105818991,4.3.1.2,F
2013,Nova Scotia,Row or terrace,"Total, all energy types",Gigajoules per household,v105818991,4.3.1.2,F
2015,Nova Scotia,Row or terrace,"Total, all energy types",Gigajoules per household,v105818991,4.3.1.2,F
2011,Nova Scotia,Row or terrace,"Total, all energy types",Number of households,v105818993,4.3.1.4,F
2013,Nova Scotia,Row or terrace,"Total, all energy types",Number of households,v105818993,4.3.1.4,F
2015,Nova Scotia,Row or terrace,"Total, all energy types",Number of households,v105818993,4.3.1.4,F
2011,Nova Scotia,Row or terrace,Electricity,Gigajoules,v105818994,4.3.2.1,F
2013,Nova Scotia,Row or terrace,Electricity,Gigajoules,v105818994,4.3.2.1,F
2015,Nova Scotia,Row or terrace,Electricity,Gigajoules,v105818994,4.3.2.1,F
2011,Nova Scotia,Row or terrace,Electricity,Gigajoules per household,v105818995,4.3.2.2,F
2013,Nova Scotia,Row or terrace,Electricity,Gigajoules per household,v105818995,4.3.2.2,F
2015,Nova Scotia,Row or terrace,Electricity,Gigajoules per household,v105818995,4.3.2.2,F
2011,Nova Scotia,Row or terrace,Electricity,Proportion of total energy (percent),v105818996,4.3.2.3,F
2013,Nova Scotia,Row or terrace,Electricity,Proportion of total energy (percent),v105818996,4.3.2.3,F
2015,Nova Scotia,Row or terrace,Electricity,Proportion of total energy (percent),v105818996,4.3.2.3,F
2011,Nova Scotia,Row or terrace,Electricity,Number of households,v105818997,4.3.2.4,F
2013,Nova Scotia,Row or terrace,Electricity,Number of households,v105818997,4.3.2.4,F
2015,Nova Scotia,Row or terrace,Electricity,Number of households,v105818997,4.3.2.4,F
2011,Nova Scotia,Row or terrace,Natural gas,Gigajoules,v105818998,4.3.3.1,F
2013,Nova Scotia,Row or terrace,Natural gas,Gigajoules,v105818998,4.3.3.1,F
2015,Nova Scotia,Row or terrace,Natural gas,Gigajoules,v105818998,4.3.3.1,F
2011,Nova Scotia,Row or terrace,Natural gas,Gigajoules per household,v105818999,4.3.3.2,F
2013,Nova Scotia,Row or terrace,Natural gas,Gigajoules per household,v105818999,4.3.3.2,F
2015,Nova Scotia,Row or terrace,Natural gas,Gigajoules per household,v105818999,4.3.3.2,F
2011,Nova Scotia,Row or terrace,Natural gas,Proportion of total energy (percent),v105819000,4.3.3.3,F
2013,Nova Scotia,Row or terrace,Natural gas,Proportion of total energy (percent),v105819000,4.3.3.3,F
2015,Nova Scotia,Row or terrace,Natural gas,Proportion of total energy (percent),v105819000,4.3.3.3,F
2011,Nova Scotia,Row or terrace,Natural gas,Number of households,v105819001,4.3.3.4,F
2013,Nova Scotia,Row or terrace,Natural gas,Number of households,v105819001,4.3.3.4,F
2015,Nova Scotia,Row or terrace,Natural gas,Number of households,v105819001,4.3.3.4,F
2011,Nova Scotia,Row or terrace,Heating oil,Gigajoules,v105819002,4.3.4.1,F
2013,Nova Scotia,Row or terrace,Heating oil,Gigajoules,v105819002,4.3.4.1,F
2015,Nova Scotia,Row or terrace,Heating oil,Gigajoules,v105819002,4.3.4.1,F
2011,Nova Scotia,Row or terrace,Heating oil,Gigajoules per household,v105819003,4.3.4.2,F
2013,Nova Scotia,Row or terrace,Heating oil,Gigajoules per household,v105819003,4.3.4.2,F
2015,Nova Scotia,Row or terrace,Heating oil,Gigajoules per household,v105819003,4.3.4.2,F
2011,Nova Scotia,Row or terrace,Heating oil,Proportion of total energy (percent),v105819004,4.3.4.3,F
2013,Nova Scotia,Row or terrace,Heating oil,Proportion of total energy (percent),v105819004,4.3.4.3,F
2015,Nova Scotia,Row or terrace,Heating oil,Proportion of total energy (percent),v105819004,4.3.4.3,F
2011,Nova Scotia,Row or terrace,Heating oil,Number of households,v105819005,4.3.4.4,F
2013,Nova Scotia,Row or terrace,Heating oil,Number of households,v105819005,4.3.4.4,F
2015,Nova Scotia,Row or terrace,Heating oil,Number of households,v105819005,4.3.4.4,F
2011,Nova Scotia,Duplex,"Total, all energy types",Gigajoules,v105819006,4.4.1.1,1220110
2013,Nova Scotia,Duplex,"Total, all energy types",Gigajoules,v105819006,4.4.1.1,F
2015,Nova Scotia,Duplex,"Total, all energy types",Gigajoules,v105819006,4.4.1.1,F
2011,Nova Scotia,Duplex,"Total, all energy types",Gigajoules per household,v105819007,4.4.1.2,55.1
2013,Nova Scotia,Duplex,"Total, all energy types",Gigajoules per household,v105819007,4.4.1.2,F
2015,Nova Scotia,Duplex,"Total, all energy types",Gigajoules per household,v105819007,4.4.1.2,F
2011,Nova Scotia,Duplex,"Total, all energy types",Number of households,v105819009,4.4.1.4,22136
2013,Nova Scotia,Duplex,"Total, all energy types",Number of households,v105819009,4.4.1.4,F
2015,Nova Scotia,Duplex,"Total, all energy types",Number of households,v105819009,4.4.1.4,F
2011,Nova Scotia,Duplex,Electricity,Gigajoules,v105819010,4.4.2.1,685874
2013,Nova Scotia,Duplex,Electricity,Gigajoules,v105819010,4.4.2.1,F
2015,Nova Scotia,Duplex,Electricity,Gigajoules,v105819010,4.4.2.1,F
2011,Nova Scotia,Duplex,Electricity,Gigajoules per household,v105819011,4.4.2.2,31
2013,Nova Scotia,Duplex,Electricity,Gigajoules per household,v105819011,4.4.2.2,F
2015,Nova Scotia,Duplex,Electricity,Gigajoules per household,v105819011,4.4.2.2,F
